target,split,config,n,mae,rmse,r2
AtomicRadius,leave_group_out,gray_mog_sphere,99,35.02185185439586,45.42226477269848,-0.4010930987281518
AtomicRadius,leave_group_out,random_00,99,32.75706675386605,42.24317482380998,-0.2118323056002791
AtomicRadius,leave_group_out,random_01,99,31.12443068385889,40.52517246292268,-0.11526781263299712
AtomicRadius,leave_group_out,random_02,99,29.95176377106148,40.66247156004746,-0.1228376586446478
AtomicRadius,leave_group_out,random_03,99,31.677910050359824,40.93174282449422,-0.13775800139309902
AtomicRadius,leave_group_out,random_04,99,32.76713056965765,42.52589139746438,-0.2281071967602719
AtomicRadius,leave_group_out,random_05,99,32.31457174647422,42.61289762070797,-0.23313765109298057
AtomicRadius,leave_group_out,random_06,99,27.278392290992304,38.00935888830763,0.01890623997090235
AtomicRadius,leave_group_out,random_07,99,30.995533791223114,40.40510472177863,-0.10866898486961052
AtomicRadius,shuffled_target,z_poly,99,30.024753285516766,40.58664379513533,-0.11865380657211166
AtomicRadius,shuffled_target,mog_planar,99,30.89666710753115,40.35731096790155,-0.10604772626988801
IonizationEnergy,leave_period_out,z_poly,102,2.4339891282810275,3.2256640803756578,0.057530949691174116
IonizationEnergy,leave_period_out,message_bits,102,2.3167678706021757,3.2212501886205755,0.06010847177271905
IonizationEnergy,leave_period_out,golay_bits,102,2.505876267534022,3.3488425929142207,-0.01582358169623843
IonizationEnergy,leave_period_out,mog_planar,102,2.6584848471942357,3.6014472631741454,-0.17485140466911342
IonizationEnergy,leave_period_out,mog_stacked,102,2.690059157756591,3.6359730831427766,-0.1974851601475418
IonizationEnergy,leave_period_out,mog_cylinder,102,2.6461750582648387,3.594697881112987,-0.1704520117817503
IonizationEnergy,leave_period_out,mog_sphere,102,2.7265391846732627,3.6166661925701162,-0.18480171503886234
IonizationEnergy,leave_period_out,gray_message_bits,102,2.86139011973256,3.8431152050561437,-0.33781366623049447
IonizationEnergy,leave_period_out,gray_golay_bits,102,3.044576691268227,3.975275045350003,-0.43140716237358134
IonizationEnergy,leave_period_out,gray_mog_planar,102,2.792259169366394,3.7966989616717366,-0.30569321744577027
IonizationEnergy,leave_period_out,gray_mog_stacked,102,2.7796676508882796,3.774787574356969,-0.2906659556947344
IonizationEnergy,leave_period_out,gray_mog_cylinder,102,2.8001458444571248,3.7664361204212997,-0.28496125669370076
IonizationEnergy,leave_period_out,gray_mog_sphere,102,3.0126443674145547,4.050506095208046,-0.48609783392358286
IonizationEnergy,leave_period_out,random_00,102,2.6474861734987107,3.687795547547533,-0.23186323072237847
IonizationEnergy,leave_period_out,random_01,102,2.5641607362766132,3.4684252788457863,-0.08966626743163064
IonizationEnergy,leave_period_out,random_02,102,2.443435229960142,3.3979977504678036,-0.045863472297228425
IonizationEnergy,leave_period_out,random_03,102,2.390583289104537,3.4554611110918123,-0.08153565244145167
IonizationEnergy,leave_period_out,random_04,102,2.738575031314026,3.782193667032972,-0.29573546947078966
IonizationEnergy,leave_period_out,random_05,102,2.618636097694072,3.5640547492631223,-0.15058194500435595
IonizationEnergy,leave_period_out,random_06,102,2.3415398340368836,3.272414743469316,0.03001391879910853
IonizationEnergy,leave_period_out,random_07,102,2.4231035019417217,3.4148090898257606,-0.056237734299769304
IonizationEnergy,leave_group_out,z_poly,102,2.39554186234783,3.256361489050251,0.03950736062753435
IonizationEnergy,leave_group_out,message_bits,102,2.388052333445099,3.358396874480961,-0.021628159932388202
IonizationEnergy,leave_group_out,golay_bits,102,2.7485243738551683,3.5132073115264975,-0.11798603039003086
IonizationEnergy,leave_group_out,mog_planar,102,2.7736438141586093,3.7248518641493242,-0.25674403485675756
IonizationEnergy,leave_group_out,mog_stacked,102,2.7548219140884362,3.698938544498599,-0.23931884271670367
IonizationEnergy,leave_group_out,mog_cylinder,102,2.7105993785250213,3.6856526531045857,-0.2304320310328798
IonizationEnergy,leave_group_out,mog_sphere,102,2.8431517250989264,3.763715293642031,-0.28310544706595087
IonizationEnergy,leave_group_out,gray_message_bits,102,2.6170853308741457,3.566247855144242,-0.15199837913150382
IonizationEnergy,leave_group_out,gray_golay_bits,102,2.8926009237833354,3.821365058549055,-0.3227137785095797
IonizationEnergy,leave_group_out,gray_mog_planar,102,2.795318044103199,3.8587131043208274,-0.34869516620424257
IonizationEnergy,leave_group_out,gray_mog_stacked,102,2.764466055455455,3.812040632598835,-0.31626660631379866
IonizationEnergy,leave_group_out,gray_mog_cylinder,102,2.816686274035755,3.8702071407369165,-0.35674191077541506
IonizationEnergy,leave_group_out,gray_mog_sphere,102,2.8944732545078007,3.85141214175775,-0.3435963380455156
IonizationEnergy,leave_group_out,random_00,102,2.6979794478307575,3.6576631417998056,-0.21181474625042918
IonizationEnergy,leave_group_out,random_01,102,2.667300856481083,3.571669178571904,-0.15550352127216982
IonizationEnergy,leave_group_out,random_02,102,2.4536228720928968,3.4516834062694515,-0.07917215365070684
IonizationEnergy,leave_group_out,random_03,102,2.56511395839237,3.5860057985123177,-0.16479848216953097
IonizationEnergy,leave_group_out,random_04,102,2.811078831852585,3.8000758327400987,-0.3080168772869172
IonizationEnergy,leave_group_out,random_05,102,2.786692134174474,3.7430142149359273,-0.26902966400429285
IonizationEnergy,leave_group_out,random_06,102,2.469574648473139,3.389901211625569,-0.04088537255450819
IonizationEnergy,leave_group_out,random_07,102,2.533316200218488,3.491892992617334,-0.1044617352805346
IonizationEnergy,shuffled_target,z_poly,102,2.2796947955897475,3.2958407501685176,0.016076667781995346
IonizationEnergy,shuffled_target,mog_planar,102,2.521506035993853,3.564699709359291,-0.15099840694917477
ElectronAffinity,leave_period_out,z_poly,57,0.68359439386182,0.8984156422554713,-0.06292408687863205
ElectronAffinity,leave_period_out,message_bits,57,0.8697594291056726,1.0926459342261674,-0.5721954940050724
ElectronAffinity,leave_period_out,golay_bits,57,0.8759454745273251,1.1274516062674231,-0.6739537648521812
ElectronAffinity,leave_period_out,mog_planar,57,0.7342135923642921,0.9598736567187327,-0.21332119666926386
ElectronAffinity,leave_period_out,mog_stacked,57,0.7500677320855984,0.9693634835661918,-0.23743088196031725
ElectronAffinity,leave_period_out,mog_cylinder,57,0.7352264728007812,0.953145630746225,-0.19637178425396162
ElectronAffinity,leave_period_out,mog_sphere,57,0.7444642078859957,0.958725994686172,-0.21042154376612432
ElectronAffinity,leave_period_out,gray_message_bits,57,0.8099103209835518,1.0489568742461166,-0.44898171796138886
ElectronAffinity,leave_period_out,gray_golay_bits,57,0.7750199771349562,1.0222915135129027,-0.37624942393221184
