held_out_period,endpoint,family,assignment,auc,test_elements
3,GroupBlock,C,random_14,0.9259259259259259,8
3,StandardState,C,random_14,0.859375,8
3,GroupBlock,C,random_15,0.8148148148148148,8
3,StandardState,C,random_15,0.75,8
4,GroupBlock,raw,fixed,0.8874441284030882,18
4,StandardState,raw,fixed,0.9214646464646464,18
4,GroupBlock,A,fixed,0.8766761479073547,18
4,StandardState,A,fixed,0.9141414141414141,18
4,GroupBlock,A,random_00,0.9039008533116619,18
4,StandardState,A,random_00,0.9265151515151515,18
4,GroupBlock,A,random_01,0.8618447785453068,18
4,StandardState,A,random_01,0.9078282828282829,18
4,GroupBlock,A,random_02,0.8715969118244616,18
4,StandardState,A,random_02,0.8949494949494949,18
4,GroupBlock,A,random_03,0.9106054449410809,18
4,StandardState,A,random_03,0.8883838383838384,18
4,GroupBlock,A,random_04,0.8933360422592442,18
4,StandardState,A,random_04,0.8977272727272727,18
4,GroupBlock,A,random_05,0.8598130841121495,18
4,StandardState,A,random_05,0.9409090909090909,18
4,GroupBlock,A,random_06,0.8583908980089394,18
4,StandardState,A,random_06,0.8964646464646465,18
4,GroupBlock,A,random_07,0.8524989841527835,18
4,StandardState,A,random_07,0.9118686868686868,18
4,GroupBlock,A,random_08,0.9077610727346607,18
4,StandardState,A,random_08,0.9434343434343434,18
4,GroupBlock,A,random_09,0.9055262088581877,18
4,StandardState,A,random_09,0.943939393939394,18
4,GroupBlock,A,random_10,0.8797236895570906,18
4,StandardState,A,random_10,0.9207070707070707,18
4,GroupBlock,A,random_11,0.8835839089800894,18
4,StandardState,A,random_11,0.8957070707070707,18
4,GroupBlock,A,random_12,0.9150751726940268,18
4,StandardState,A,random_12,0.9181818181818182,18
4,GroupBlock,A,random_13,0.897196261682243,18
4,StandardState,A,random_13,0.9414141414141414,18
4,GroupBlock,A,random_14,0.8718000812677773,18
4,StandardState,A,random_14,0.9333333333333333,18
4,GroupBlock,A,random_15,0.8746444534741975,18
4,StandardState,A,random_15,0.8558080808080808,18
4,GroupBlock,B,fixed,0.8963835839089801,18
4,StandardState,B,fixed,0.9047979797979798,18
4,GroupBlock,B,random_00,0.866111336854937,18
4,StandardState,B,random_00,0.9247474747474748,18
4,GroupBlock,B,random_01,0.8673303535148313,18
4,StandardState,B,random_01,0.9138888888888889,18
4,GroupBlock,B,random_02,0.8687525396180414,18
4,StandardState,B,random_02,0.927020202020202,18
4,GroupBlock,B,random_03,0.8506704591629419,18
4,StandardState,B,random_03,0.9267676767676768,18
4,GroupBlock,B,random_04,0.917919544900447,18
4,StandardState,B,random_04,0.9464646464646465,18
4,GroupBlock,B,random_05,0.8799268590004063,18
4,StandardState,B,random_05,0.8800505050505051,18
4,GroupBlock,B,random_06,0.9154815115806583,18
4,StandardState,B,random_06,0.9391414141414142,18
4,GroupBlock,B,random_07,0.8709874034945144,18
4,StandardState,B,random_07,0.9373737373737374,18
4,GroupBlock,B,random_08,0.8707842340511986,18
4,StandardState,B,random_08,0.8795454545454545,18
4,GroupBlock,B,random_09,0.8811458756603007,18
4,StandardState,B,random_09,0.9169191919191919,18
4,GroupBlock,B,random_10,0.8718000812677773,18
4,StandardState,B,random_10,0.9050505050505051,18
4,GroupBlock,B,random_11,0.8780983340105648,18
4,StandardState,B,random_11,0.8941919191919192,18
4,GroupBlock,B,random_12,0.8628606257618854,18
4,StandardState,B,random_12,0.9032828282828282,18
4,GroupBlock,B,random_13,0.8673303535148313,18
4,StandardState,B,random_13,0.9095959595959596,18
4,GroupBlock,B,random_14,0.8726127590410402,18
4,StandardState,B,random_14,0.9078282828282829,18
4,GroupBlock,B,random_15,0.8514831369362048,18
4,StandardState,B,random_15,0.9032828282828282,18
4,GroupBlock,C,fixed,0.870581064607883,18
4,StandardState,C,fixed,0.9462121212121212,18
4,GroupBlock,C,random_00,0.843965867533523,18
4,StandardState,C,random_00,0.8810606060606061,18
4,GroupBlock,C,random_01,0.8474197480698903,18
4,StandardState,C,random_01,0.9252525252525252,18
4,GroupBlock,C,random_02,0.8470134091832588,18
4,StandardState,C,random_02,0.8626262626262626,18
4,GroupBlock,C,random_03,0.8539211702559935,18
4,StandardState,C,random_03,0.9174242424242425,18
4,GroupBlock,C,random_04,0.8594067452255181,18
4,StandardState,C,random_04,0.8909090909090909,18
4,GroupBlock,C,random_05,0.8718000812677773,18
4,StandardState,C,random_05,0.9042929292929293,18
4,GroupBlock,C,random_06,0.8969930922389273,18
4,StandardState,C,random_06,0.8856060606060606,18
4,GroupBlock,C,random_07,0.8679398618447786,18
4,StandardState,C,random_07,0.9113636363636364,18
4,GroupBlock,C,random_08,0.8636733035351483,18
4,StandardState,C,random_08,0.9580808080808081,18
4,GroupBlock,C,random_09,0.8752539618041446,18
4,StandardState,C,random_09,0.9444444444444444,18
4,GroupBlock,C,random_10,0.8973994311255588,18
4,StandardState,C,random_10,0.921969696969697,18
4,GroupBlock,C,random_11,0.8396993092238927,18
4,StandardState,C,random_11,0.9053030303030303,18
4,GroupBlock,C,random_12,0.8827712312068265,18
4,StandardState,C,random_12,0.9098484848484848,18
4,GroupBlock,C,random_13,0.8923201950426656,18
4,StandardState,C,random_13,0.8873737373737374,18
4,GroupBlock,C,random_14,0.8813490451036164,18
4,StandardState,C,random_14,0.9477272727272728,18
4,GroupBlock,C,random_15,0.8522958147094677,18
4,StandardState,C,random_15,0.8886363636363637,18
5,GroupBlock,raw,fixed,0.8199518265756724,18
5,StandardState,raw,fixed,0.7305363321799307,18
5,GroupBlock,A,fixed,0.8127258129265356,18
5,StandardState,A,fixed,0.7504325259515571,18
5,GroupBlock,A,random_00,0.834805299076676,18
5,StandardState,A,random_00,0.7136678200692042,18
5,GroupBlock,A,random_01,0.8061019670814934,18
5,StandardState,A,random_01,0.7205882352941176,18
5,GroupBlock,A,random_02,0.8131272581292653,18
5,StandardState,A,random_02,0.6920415224913494,18
5,GroupBlock,A,random_03,0.8432356483340024,18
5,StandardState,A,random_03,0.7902249134948097,18
5,GroupBlock,A,random_04,0.839622641509434,18
5,StandardState,A,random_04,0.7681660899653979,18
5,GroupBlock,A,random_05,0.8034925732637495,18
5,StandardState,A,random_05,0.7833044982698962,18
5,GroupBlock,A,random_06,0.8097149739060618,18
5,StandardState,A,random_06,0.6479238754325259,18
5,GroupBlock,A,random_07,0.7637494981934966,18
5,StandardState,A,random_07,0.7807093425605537,18
5,GroupBlock,A,random_08,0.8366118024889603,18
5,StandardState,A,random_08,0.7785467128027682,18
5,GroupBlock,A,random_09,0.8466479325572059,18
5,StandardState,A,random_09,0.759515570934256,18
5,GroupBlock,A,random_10,0.8183460457647531,18
5,StandardState,A,random_10,0.7097750865051903,18
5,GroupBlock,A,random_11,0.8267763950220794,18
5,StandardState,A,random_11,0.7573529411764706,18
5,GroupBlock,A,random_12,0.8295865114411882,18
5,StandardState,A,random_12,0.7119377162629758,18
5,GroupBlock,A,random_13,0.8063026896828583,18
5,StandardState,A,random_13,0.7841695501730104,18
5,GroupBlock,A,random_14,0.7810116419108791,18
5,StandardState,A,random_14,0.6859861591695502,18
5,GroupBlock,A,random_15,0.8067041348855881,18
5,StandardState,A,random_15,0.6604671280276817,18
5,GroupBlock,B,fixed,0.8077077478924127,18
5,StandardState,B,fixed,0.7491349480968859,18
5,GroupBlock,B,random_00,0.7816138097149739,18
5,StandardState,B,random_00,0.7461072664359861,18
5,GroupBlock,B,random_01,0.81413087113609,18
5,StandardState,B,random_01,0.778114186851211,18
5,GroupBlock,B,random_02,0.7896427137695704,18
5,StandardState,B,random_02,0.7534602076124568,18
5,GroupBlock,B,random_03,0.7952629466077881,18
5,StandardState,B,random_03,0.7197231833910035,18
5,GroupBlock,B,random_04,0.876756322761943,18
5,StandardState,B,random_04,0.8187716262975778,18
5,GroupBlock,B,random_05,0.8161380971497391,18
5,StandardState,B,random_05,0.6963667820069204,18
5,GroupBlock,B,random_06,0.8476515455640306,18
5,StandardState,B,random_06,0.7850346020761245,18
5,GroupBlock,B,random_07,0.8129265355279004,18
5,StandardState,B,random_07,0.7608131487889274,18
5,GroupBlock,B,random_08,0.8161380971497391,18
5,StandardState,B,random_08,0.6976643598615917,18
5,GroupBlock,B,random_09,0.7832195905258932,18
5,StandardState,B,random_09,0.7820069204152249,18
5,GroupBlock,B,random_10,0.8165395423524688,18
5,StandardState,B,random_10,0.7132352941176471,18
5,GroupBlock,B,random_11,0.8147330389401847,18
5,StandardState,B,random_11,0.6583044982698962,18
5,GroupBlock,B,random_12,0.7812123645122441,18
5,StandardState,B,random_12,0.7115051903114187,18
5,GroupBlock,B,random_13,0.800080289040546,18
5,StandardState,B,random_13,0.7352941176470589,18
