candidate_id,topology,series_kind,series_value,series_unit,shunt_kind,shunt_value,shunt_unit,x0,b0,centre_gamma,mean_gamma,worst_gamma,mean_reflected_power,worst_vswr,raw_z_distance,smith_score,glm_score
LNET-00969,series_then_shunt,L,4.8731050077104735e-09,H,C,3.248736671806984e-12,F,0.5999999999999996,1.0,0.10894879949827965,0.21590069599605502,0.4612326449952827,0.06021524459344494,2.712177401658808,0.47345934570105985,0.21590069599605502,
LNET-02435,shunt_then_series,C,8.121841679517462e-12,F,L,8.12184167951746e-09,H,-0.3999999999999999,-1.0,0.377787288084367,0.3792914601558472,0.46394753854977816,0.1471789031764298,2.730978110965584,0.5545766872513086,0.3792914601558472,
LNET-02604,shunt_then_series,L,3.248736671806987e-09,H,none,0.0,,0.40000000000000036,0.0,0.3304102932131825,0.3472791719452046,0.4668594210308419,0.12517287647007636,2.751355794126672,0.5789629242278761,0.3472791719452046,
LNET-00923,series_then_shunt,L,3.248736671806987e-09,H,none,0.0,,0.40000000000000036,0.0,0.3304102932131825,0.3472791719452046,0.466859421030842,0.12517287647007633,2.751355794126673,0.5789629242278762,0.3472791719452046,
LNET-02567,shunt_then_series,L,1.6243683359034936e-09,H,C,2.5989893374455867e-12,F,0.20000000000000018,0.7999999999999998,0.36498081171789537,0.35192561697630026,0.4672167397053377,0.12853609429375462,2.7538716942680885,0.5199279253320882,0.35192561697630026,
LNET-00837,series_then_shunt,none,0.0,,L,1.0152302099396829e-08,H,0.0,-0.7999999999999998,0.3513602335155304,0.3539770293615695,0.469002320056403,0.13146098959783029,2.7664947993980724,0.537715139808619,0.3539770293615695,
LNET-02518,shunt_then_series,none,0.0,,L,1.0152302099396829e-08,H,0.0,-0.7999999999999998,0.3513602335155304,0.3539770293615695,0.469002320056403,0.13146098959783029,2.7664947993980724,0.537715139808619,0.3539770293615695,
LNET-02354,shunt_then_series,C,4.060920839758731e-12,F,L,1.0152302099396829e-08,H,-0.7999999999999998,-0.7999999999999998,0.4706760612053357,0.4675876453166296,0.4710893362903817,0.2186467822055352,2.7813569232516677,0.7576140735122046,0.4675876453166296,
LNET-00965,series_then_shunt,L,4.8731050077104735e-09,H,C,6.497473343613974e-13,F,0.5999999999999996,0.20000000000000018,0.32392180442859103,0.3422350130497273,0.4713711764746091,0.12244025318567577,2.7833729660485242,0.6594058137789999,0.3422350130497273,
LNET-02394,shunt_then_series,C,5.414561119678306e-12,F,L,8.12184167951746e-09,H,-0.6000000000000001,-1.0,0.4244048212173021,0.42431577146752164,0.4737187208989413,0.18120594384212152,2.8002491812290966,0.6353903442240622,0.42431577146752164,
LNET-02476,shunt_then_series,C,1.6243683359034905e-11,F,L,8.12184167951746e-09,H,-0.20000000000000018,-1.0,0.36773009496467624,0.3702899705528467,0.47768149783536495,0.14245744115625383,2.829081282228059,0.5391727294413741,0.3702899705528467,
LNET-00880,series_then_shunt,L,1.6243683359034936e-09,H,L,2.0304604198793658e-08,H,0.20000000000000018,-0.3999999999999999,0.370775754466542,0.3757367771803641,0.48725086578193144,0.14649621636940316,2.9005429098382725,0.5756329879595288,0.3757367771803641,
LNET-02690,shunt_then_series,L,6.497473343613967e-09,H,C,2.5989893374455867e-12,F,0.7999999999999998,0.7999999999999998,0.4886740675500767,0.48702261949267917,0.49042536093661826,0.23719879851121534,2.9248421068915023,0.7768912780722607,0.48702261949267917,
LNET-02355,shunt_then_series,C,4.060920839758731e-12,F,L,1.3536402799195764e-08,H,-0.7999999999999998,-0.6000000000000001,0.46302912331108154,0.45943777309501294,0.4918287795699582,0.2115080991340145,2.935681360127975,0.7743631244476424,0.45943777309501294,
LNET-00759,series_then_shunt,C,8.121841679517462e-12,F,none,0.0,,-0.3999999999999999,0.0,0.3559340767015975,0.3541319283318815,0.4936050056199919,0.13046896073762246,2.949486116956289,0.5928103309386199,0.3541319283318815,
LNET-02440,shunt_then_series,C,8.121841679517462e-12,F,none,0.0,,-0.3999999999999999,0.0,0.3559340767015975,0.3541319283318815,0.4936050056199919,0.13046896073762243,2.949486116956289,0.5928103309386199,0.3541319283318815,
LNET-02483,shunt_then_series,C,1.6243683359034905e-11,F,C,1.2994946687227947e-12,F,-0.20000000000000018,0.40000000000000036,0.3614844819172466,0.3478779101759417,0.4938752310844598,0.1280904840216313,2.951594790125261,0.5594472730268553,0.3478779101759417,
LNET-00793,series_then_shunt,C,1.6243683359034905e-11,F,L,5.801315485369615e-09,H,-0.20000000000000018,-1.4,0.36655906359891993,0.4012922188761557,0.4943726951163448,0.16310241505167442,2.9554825870414567,0.6126396419064561,0.4012922188761557,
LNET-00930,series_then_shunt,L,3.248736671806987e-09,H,C,4.548231340529779e-12,F,0.40000000000000036,1.4000000000000004,0.29999751162887744,0.3641851471080754,0.4945621632640142,0.13560477462811002,2.956965337054288,0.6012366997350981,0.3641851471080754,
LNET-02609,shunt_then_series,L,3.248736671806987e-09,H,C,3.248736671806984e-12,F,0.40000000000000036,1.0,0.4161828769858475,0.4061882949166518,0.4957408290849014,0.16778382024877242,2.9662144297158206,0.5831716076455984,0.4061882949166518,
LNET-00888,series_then_shunt,L,1.6243683359034936e-09,H,C,3.898484006168382e-12,F,0.20000000000000018,1.2000000000000002,0.35545817930284057,0.3617432819678422,0.4983596696174066,0.13537038231382253,2.9869202671057784,0.5597040298835672,0.3617432819678422,
LNET-00717,series_then_shunt,C,5.414561119678306e-12,F,L,4.060920839758726e-08,H,-0.6000000000000001,-0.20000000000000018,0.35163857984768637,0.3498001596029227,0.49955889397324754,0.12817726874593155,2.996474262234335,0.678377013093366,0.3498001596029227,
LNET-02646,shunt_then_series,L,4.8731050077104735e-09,H,C,6.497473343613974e-13,F,0.5999999999999996,0.20000000000000018,0.3905771841288488,0.40223829368063124,0.5000168575684223,0.16509088027252644,3.0001348650943735,0.684121894945773,0.40223829368063124,
LNET-02650,shunt_then_series,L,4.8731050077104735e-09,H,C,3.248736671806984e-12,F,0.5999999999999996,1.0,0.4561684371450331,0.45010336498790654,0.5009715345916135,0.20349195666472578,3.0077874082058096,0.662315092322262,0.45010336498790654,
LNET-02689,shunt_then_series,L,6.497473343613967e-09,H,C,1.949242003084189e-12,F,0.7999999999999998,0.5999999999999996,0.4699754783440924,0.47208669554955635,0.5017950857426706,0.22328294775444216,3.0144124290331145,0.7839725948542028,0.47208669554955635,
LNET-02560,shunt_then_series,L,1.6243683359034936e-09,H,L,1.3536402799195764e-08,H,0.20000000000000018,-0.6000000000000001,0.3642771424496672,0.36827199880369554,0.5032963008896562,0.143873801421128,3.026545410437331,0.5879178510656442,0.36827199880369554,
LNET-01008,series_then_shunt,L,6.497473343613967e-09,H,C,1.949242003084189e-12,F,0.7999999999999998,0.5999999999999996,0.2562078492795954,0.29090443673728694,0.5036357879367216,0.09868598366560204,3.0292993559838526,0.8649756291732872,0.29090443673728694,
